control,tf,tipo,direccion,confirmation_time_utc,bar_index_local,nivel,zone_high,source_close,detector_object_id,occurrence_id
A,D1,DISPLACEMENT,-1,2026-09-17T00:00:00+00:00,425,1.14609,1.15566,1.14639,,D1|DISPLACEMENT|2026-09-17T00:00:00+00:00|-1
A,H4,DISPLACEMENT,-1,2026-09-17T00:00:00+00:00,510,1.14609,1.15474,1.14639,,H4|DISPLACEMENT|2026-09-17T00:00:00+00:00|-1
A,H4,FVG,-1,2026-09-17T04:00:00+00:00,511,1.14731,1.15309,,FVG_H4_511_BEAR,H4|FVG|2026-09-17T04:00:00+00:00|-1
A,H4,FVG,1,2026-09-17T16:00:00+00:00,514,1.14667,1.14682,,FVG_H4_514_BULL,H4|FVG|2026-09-17T16:00:00+00:00|1
A,H1,BOS,1,2026-09-17T11:00:00+00:00,783,1.14667,,1.14734,,H1|BOS|2026-09-17T11:00:00+00:00|1
A,H1,CHOCH,1,2026-09-16T21:00:00+00:00,769,1.15377,,1.15399,,H1|CHOCH|2026-09-16T21:00:00+00:00|1
A,H1,DISPLACEMENT,1,2026-09-17T16:00:00+00:00,788,1.14718,1.14958,1.14914,,H1|DISPLACEMENT|2026-09-17T16:00:00+00:00|1
A,H1,DISPLACEMENT,-1,2026-09-16T22:00:00+00:00,770,1.147,1.15474,1.14704,,H1|DISPLACEMENT|2026-09-16T22:00:00+00:00|-1
A,H1,OB,1,2026-09-16T21:00:00+00:00,769,1.15341,1.15384,,OB_H1_769_BULL,H1|OB|2026-09-16T21:00:00+00:00|1
A,H1,FVG,-1,2026-09-16T23:00:00+00:00,771,1.14824,1.15304,,FVG_H1_771_BEAR,H1|FVG|2026-09-16T23:00:00+00:00|-1
A,H1,FVG,-1,2026-09-17T05:00:00+00:00,777,1.14648,1.14656,,FVG_H1_777_BEAR,H1|FVG|2026-09-17T05:00:00+00:00|-1
A,H1,FVG,1,2026-09-17T09:00:00+00:00,781,1.14615,1.14634,,FVG_H1_781_BULL,H1|FVG|2026-09-17T09:00:00+00:00|1
A,H1,FVG,1,2026-09-17T11:00:00+00:00,783,1.14683,1.14701,,FVG_H1_783_BULL,H1|FVG|2026-09-17T11:00:00+00:00|1
A,H1,FVG,1,2026-09-17T17:00:00+00:00,789,1.1479,1.1485,,FVG_H1_789_BULL,H1|FVG|2026-09-17T17:00:00+00:00|1
A,M15,BOS,-1,2026-09-16T20:30:00+00:00,1351,1.15341,,1.15326,,M15|BOS|2026-09-16T20:30:00+00:00|-1
A,M15,BOS,1,2026-09-17T02:00:00+00:00,1373,1.14646,,1.14667,,M15|BOS|2026-09-17T02:00:00+00:00|1
A,M15,BOS,-1,2026-09-17T04:00:00+00:00,1381,1.14656,,1.14593,,M15|BOS|2026-09-17T04:00:00+00:00|-1
A,M15,BOS,1,2026-09-17T07:45:00+00:00,1396,1.14615,,1.14641,,M15|BOS|2026-09-17T07:45:00+00:00|1
A,M15,BOS,-1,2026-09-17T14:45:00+00:00,1424,1.14718,,1.14711,,M15|BOS|2026-09-17T14:45:00+00:00|-1
A,M15,BOS,1,2026-09-17T15:30:00+00:00,1427,1.14807,,1.14953,,M15|BOS|2026-09-17T15:30:00+00:00|1
A,M15,CHOCH,-1,2026-09-16T18:30:00+00:00,1343,1.15388,,1.1537,,M15|CHOCH|2026-09-16T18:30:00+00:00|-1
A,M15,CHOCH,1,2026-09-16T21:00:00+00:00,1353,1.15341,,1.15399,,M15|CHOCH|2026-09-16T21:00:00+00:00|1
A,M15,CHOCH,1,2026-09-17T15:00:00+00:00,1425,1.14718,,1.14735,,M15|CHOCH|2026-09-17T15:00:00+00:00|1
A,M15,MSS,-1,2026-09-17T04:00:00+00:00,1381,1.14593,,1.14593,,M15|MSS|2026-09-17T04:00:00+00:00|-1
A,M15,MSS,-1,2026-09-17T14:45:00+00:00,1424,1.14711,,1.14711,,M15|MSS|2026-09-17T14:45:00+00:00|-1
A,M15,DISPLACEMENT,1,2026-09-16T21:00:00+00:00,1353,1.15314,1.15402,1.15399,,M15|DISPLACEMENT|2026-09-16T21:00:00+00:00|1
A,M15,DISPLACEMENT,1,2026-09-17T09:30:00+00:00,1403,1.14692,1.14764,1.14761,,M15|DISPLACEMENT|2026-09-17T09:30:00+00:00|1
A,M15,DISPLACEMENT,1,2026-09-17T15:15:00+00:00,1426,1.14718,1.14845,1.14828,,M15|DISPLACEMENT|2026-09-17T15:15:00+00:00|1
A,M15,DISPLACEMENT,1,2026-09-17T15:30:00+00:00,1427,1.14815,1.14958,1.14953,,M15|DISPLACEMENT|2026-09-17T15:30:00+00:00|1
A,M15,DISPLACEMENT,-1,2026-09-16T21:15:00+00:00,1354,1.15007,1.15474,1.15011,,M15|DISPLACEMENT|2026-09-16T21:15:00+00:00|-1
A,M15,DISPLACEMENT,-1,2026-09-16T22:00:00+00:00,1357,1.147,1.14885,1.14704,,M15|DISPLACEMENT|2026-09-16T22:00:00+00:00|-1
A,M15,DISPLACEMENT,-1,2026-09-17T04:00:00+00:00,1381,1.14591,1.14654,1.14593,,M15|DISPLACEMENT|2026-09-17T04:00:00+00:00|-1
A,M15,DISPLACEMENT,-1,2026-09-17T15:45:00+00:00,1428,1.14843,1.14957,1.14845,,M15|DISPLACEMENT|2026-09-17T15:45:00+00:00|-1
A,M15,OB,-1,2026-09-16T21:15:00+00:00,1354,1.15314,1.15402,,OB_M15_1354_BEAR,M15|OB|2026-09-16T21:15:00+00:00|-1
A,M15,OB,-1,2026-09-17T14:15:00+00:00,1422,1.14765,1.14795,,OB_M15_1422_BEAR,M15|OB|2026-09-17T14:15:00+00:00|-1
A,M15,FVG,-1,2026-09-16T18:45:00+00:00,1344,1.15378,1.15382,,FVG_M15_1344_BEAR,M15|FVG|2026-09-16T18:45:00+00:00|-1
A,M15,FVG,-1,2026-09-16T20:15:00+00:00,1350,1.15346,1.15349,,FVG_M15_1350_BEAR,M15|FVG|2026-09-16T20:15:00+00:00|-1
A,M15,FVG,-1,2026-09-16T20:30:00+00:00,1351,1.15333,1.15346,,FVG_M15_1351_BEAR,M15|FVG|2026-09-16T20:30:00+00:00|-1
A,M15,FVG,-1,2026-09-16T21:30:00+00:00,1355,1.15063,1.15314,,FVG_M15_1355_BEAR,M15|FVG|2026-09-16T21:30:00+00:00|-1
A,M15,FVG,-1,2026-09-16T21:45:00+00:00,1356,1.14999,1.15007,,FVG_M15_1356_BEAR,M15|FVG|2026-09-16T21:45:00+00:00|-1
A,M15,FVG,-1,2026-09-16T22:00:00+00:00,1357,1.14885,1.1497,,FVG_M15_1357_BEAR,M15|FVG|2026-09-16T22:00:00+00:00|-1
A,M15,FVG,-1,2026-09-16T23:30:00+00:00,1363,1.14678,1.14694,,FVG_M15_1363_BEAR,M15|FVG|2026-09-16T23:30:00+00:00|-1
A,M15,FVG,1,2026-09-17T01:45:00+00:00,1372,1.14646,1.14669,,FVG_M15_1372_BULL,M15|FVG|2026-09-17T01:45:00+00:00|1
A,M15,FVG,-1,2026-09-17T04:00:00+00:00,1381,1.14654,1.14669,,FVG_M15_1381_BEAR,M15|FVG|2026-09-17T04:00:00+00:00|-1
A,M15,FVG,-1,2026-09-17T04:15:00+00:00,1382,1.14619,1.14638,,FVG_M15_1382_BEAR,M15|FVG|2026-09-17T04:15:00+00:00|-1
A,M15,FVG,-1,2026-09-17T05:00:00+00:00,1385,1.14602,1.14612,,FVG_M15_1385_BEAR,M15|FVG|2026-09-17T05:00:00+00:00|-1
A,M15,FVG,1,2026-09-17T08:00:00+00:00,1397,1.14632,1.1464,,FVG_M15_1397_BULL,M15|FVG|2026-09-17T08:00:00+00:00|1
A,M15,FVG,1,2026-09-17T09:15:00+00:00,1402,1.14654,1.14656,,FVG_M15_1402_BULL,M15|FVG|2026-09-17T09:15:00+00:00|1
A,M15,FVG,1,2026-09-17T09:30:00+00:00,1403,1.14673,1.14692,,FVG_M15_1403_BULL,M15|FVG|2026-09-17T09:30:00+00:00|1
A,M15,FVG,1,2026-09-17T09:45:00+00:00,1404,1.14708,1.14747,,FVG_M15_1404_BULL,M15|FVG|2026-09-17T09:45:00+00:00|1
A,M15,FVG,1,2026-09-17T10:00:00+00:00,1405,1.14764,1.14784,,FVG_M15_1405_BULL,M15|FVG|2026-09-17T10:00:00+00:00|1
A,M15,FVG,-1,2026-09-17T11:00:00+00:00,1409,1.14776,1.14777,,FVG_M15_1409_BEAR,M15|FVG|2026-09-17T11:00:00+00:00|-1
A,M15,FVG,-1,2026-09-17T11:15:00+00:00,1410,1.14735,1.14761,,FVG_M15_1410_BEAR,M15|FVG|2026-09-17T11:15:00+00:00|-1
A,M15,FVG,-1,2026-09-17T14:30:00+00:00,1423,1.14755,1.14765,,FVG_M15_1423_BEAR,M15|FVG|2026-09-17T14:30:00+00:00|-1
A,M15,FVG,-1,2026-09-17T14:45:00+00:00,1424,1.14719,1.14738,,FVG_M15_1424_BEAR,M15|FVG|2026-09-17T14:45:00+00:00|-1
A,M15,FVG,1,2026-09-17T15:30:00+00:00,1427,1.14749,1.14815,,FVG_M15_1427_BULL,M15|FVG|2026-09-17T15:30:00+00:00|1
A,M15,FVG,-1,2026-09-17T18:15:00+00:00,1438,1.14867,1.14875,,FVG_M15_1438_BEAR,M15|FVG|2026-09-17T18:15:00+00:00|-1
A,M5,BOS,-1,2026-09-16T18:40:00+00:00,2239,1.15378,,1.1537,,M5|BOS|2026-09-16T18:40:00+00:00|-1
A,M5,BOS,1,2026-09-17T00:55:00+00:00,2314,1.14623,,1.14633,,M5|BOS|2026-09-17T00:55:00+00:00|1
A,M5,BOS,-1,2026-09-17T03:35:00+00:00,2346,1.14678,,1.14668,,M5|BOS|2026-09-17T03:35:00+00:00|-1
A,M5,BOS,1,2026-09-17T04:30:00+00:00,2357,1.14619,,1.14626,,M5|BOS|2026-09-17T04:30:00+00:00|1
A,M5,BOS,-1,2026-09-17T11:00:00+00:00,2435,1.14761,,1.14734,,M5|BOS|2026-09-17T11:00:00+00:00|-1
A,M5,BOS,1,2026-09-17T12:15:00+00:00,2450,1.14736,,1.14765,,M5|BOS|2026-09-17T12:15:00+00:00|1
A,M5,BOS,-1,2026-09-17T14:20:00+00:00,2475,1.14761,,1.14716,,M5|BOS|2026-09-17T14:20:00+00:00|-1
A,M5,BOS,1,2026-09-17T15:15:00+00:00,2486,1.14749,,1.14828,,M5|BOS|2026-09-17T15:15:00+00:00|1
A,M5,BOS,-1,2026-09-17T18:05:00+00:00,2520,1.14875,,1.14851,,M5|BOS|2026-09-17T18:05:00+00:00|-1
A,M5,CHOCH,-1,2026-09-16T18:35:00+00:00,2238,1.15359,,1.15352,,M5|CHOCH|2026-09-16T18:35:00+00:00|-1
A,M5,CHOCH,1,2026-09-16T21:00:00+00:00,2267,1.15378,,1.15399,,M5|CHOCH|2026-09-16T21:00:00+00:00|1
A,M5,CHOCH,-1,2026-09-17T01:05:00+00:00,2316,1.14623,,1.14616,,M5|CHOCH|2026-09-17T01:05:00+00:00|-1
A,M5,CHOCH,-1,2026-09-17T04:40:00+00:00,2359,1.14619,,1.14588,,M5|CHOCH|2026-09-17T04:40:00+00:00|-1
A,M5,CHOCH,-1,2026-09-17T12:20:00+00:00,2451,1.14736,,1.1473,,M5|CHOCH|2026-09-17T12:20:00+00:00|-1
A,M5,CHOCH,-1,2026-09-17T12:55:00+00:00,2458,1.14736,,1.14733,,M5|CHOCH|2026-09-17T12:55:00+00:00|-1
A,M5,CHOCH,1,2026-09-17T15:10:00+00:00,2485,1.14761,,1.14812,,M5|CHOCH|2026-09-17T15:10:00+00:00|1
A,M5,MSS,1,2026-09-17T04:30:00+00:00,2357,1.14626,,1.14626,,M5|MSS|2026-09-17T04:30:00+00:00|1
A,M5,MSS,1,2026-09-17T12:15:00+00:00,2450,1.14765,,1.14765,,M5|MSS|2026-09-17T12:15:00+00:00|1
A,M5,MSS,-1,2026-09-17T18:05:00+00:00,2520,1.14851,,1.14851,,M5|MSS|2026-09-17T18:05:00+00:00|-1
A,M5,DISPLACEMENT,1,2026-09-16T21:00:00+00:00,2267,1.15315,1.15402,1.15399,,M5|DISPLACEMENT|2026-09-16T21:00:00+00:00|1
A,M5,DISPLACEMENT,1,2026-09-17T09:10:00+00:00,2413,1.14656,1.14686,1.14684,,M5|DISPLACEMENT|2026-09-17T09:10:00+00:00|1
A,M5,DISPLACEMENT,1,2026-09-17T09:45:00+00:00,2420,1.14759,1.14797,1.14796,,M5|DISPLACEMENT|2026-09-17T09:45:00+00:00|1
A,M5,DISPLACEMENT,1,2026-09-17T15:10:00+00:00,2485,1.14754,1.14818,1.14812,,M5|DISPLACEMENT|2026-09-17T15:10:00+00:00|1
A,M5,DISPLACEMENT,1,2026-09-17T15:30:00+00:00,2489,1.14883,1.14958,1.14953,,M5|DISPLACEMENT|2026-09-17T15:30:00+00:00|1
A,M5,DISPLACEMENT,1,2026-09-17T17:05:00+00:00,2508,1.14878,1.14952,1.14946,,M5|DISPLACEMENT|2026-09-17T17:05:00+00:00|1
A,M5,DISPLACEMENT,-1,2026-09-16T21:05:00+00:00,2268,1.15082,1.15474,1.15144,,M5|DISPLACEMENT|2026-09-16T21:05:00+00:00|-1
A,M5,DISPLACEMENT,-1,2026-09-16T21:15:00+00:00,2270,1.15007,1.15185,1.15011,,M5|DISPLACEMENT|2026-09-16T21:15:00+00:00|-1
A,M5,DISPLACEMENT,-1,2026-09-16T21:35:00+00:00,2274,1.14793,1.14999,1.14818,,M5|DISPLACEMENT|2026-09-16T21:35:00+00:00|-1
A,M5,DISPLACEMENT,-1,2026-09-17T10:55:00+00:00,2434,1.14716,1.14771,1.14717,,M5|DISPLACEMENT|2026-09-17T10:55:00+00:00|-1
A,M5,OB,-1,2026-09-16T21:05:00+00:00,2268,1.15315,1.15402,,OB_M5_2268_BEAR,M5|OB|2026-09-16T21:05:00+00:00|-1
A,M5,OB,-1,2026-09-17T00:20:00+00:00,2307,1.14615,1.14624,,OB_M5_2307_BEAR,M5|OB|2026-09-17T00:20:00+00:00|-1
A,M5,OB,1,2026-09-17T02:35:00+00:00,2334,1.14673,1.14683,,OB_M5_2334_BULL,M5|OB|2026-09-17T02:35:00+00:00|1
A,M5,OB,1,2026-09-17T03:05:00+00:00,2340,1.14684,1.14702,,OB_M5_2340_BULL,M5|OB|2026-09-17T03:05:00+00:00|1
A,M5,OB,1,2026-09-17T05:05:00+00:00,2364,1.14582,1.14602,,OB_M5_2364_BULL,M5|OB|2026-09-17T05:05:00+00:00|1
A,M5,OB,-1,2026-09-17T07:15:00+00:00,2390,1.14609,1.14619,,OB_M5_2390_BEAR,M5|OB|2026-09-17T07:15:00+00:00|-1
