control,tf,tipo,direccion,confirmation_time_utc,bar_index_local,nivel,zone_high,source_close,detector_object_id,occurrence_id
B,H4,OB,1,2026-08-24T04:00:00+00:00,510,1.16741,1.16841,,OB_H4_510_BULL,H4|OB|2026-08-24T04:00:00+00:00|1
B,H4,FVG,-1,2026-08-24T16:00:00+00:00,513,1.16738,1.16754,,FVG_H4_513_BEAR,H4|FVG|2026-08-24T16:00:00+00:00|-1
B,H1,DISPLACEMENT,-1,2026-08-24T11:00:00+00:00,739,1.16647,1.16806,1.16672,,H1|DISPLACEMENT|2026-08-24T11:00:00+00:00|-1
B,H1,OB,-1,2026-08-24T02:00:00+00:00,730,1.16757,1.16785,,OB_H1_730_BEAR,H1|OB|2026-08-24T02:00:00+00:00|-1
B,H1,FVG,1,2026-08-24T04:00:00+00:00,732,1.16798,1.16821,,FVG_H1_732_BULL,H1|FVG|2026-08-24T04:00:00+00:00|1
B,H1,FVG,-1,2026-08-24T12:00:00+00:00,740,1.16685,1.1674,,FVG_H1_740_BEAR,H1|FVG|2026-08-24T12:00:00+00:00|-1
B,M15,BOS,1,2026-08-24T01:30:00+00:00,1362,1.16785,,1.16788,,M15|BOS|2026-08-24T01:30:00+00:00|1
B,M15,BOS,-1,2026-08-24T11:00:00+00:00,1400,1.16728,,1.16672,,M15|BOS|2026-08-24T11:00:00+00:00|-1
B,M15,CHOCH,-1,2026-08-24T01:45:00+00:00,1363,1.16785,,1.16761,,M15|CHOCH|2026-08-24T01:45:00+00:00|-1
B,M15,CHOCH,-1,2026-08-24T04:30:00+00:00,1374,1.16785,,1.16773,,M15|CHOCH|2026-08-24T04:30:00+00:00|-1
B,M15,CHOCH,-1,2026-08-24T07:15:00+00:00,1385,1.16785,,1.16776,,M15|CHOCH|2026-08-24T07:15:00+00:00|-1
B,M15,CHOCH,-1,2026-08-24T08:45:00+00:00,1391,1.16785,,1.16761,,M15|CHOCH|2026-08-24T08:45:00+00:00|-1
B,M15,CHOCH,-1,2026-08-24T09:30:00+00:00,1394,1.16785,,1.16749,,M15|CHOCH|2026-08-24T09:30:00+00:00|-1
B,M15,CHOCH,1,2026-08-24T15:30:00+00:00,1418,1.16728,,1.16732,,M15|CHOCH|2026-08-24T15:30:00+00:00|1
B,M15,CHOCH,1,2026-08-24T16:15:00+00:00,1421,1.16728,,1.16732,,M15|CHOCH|2026-08-24T16:15:00+00:00|1
B,M15,MSS,1,2026-08-24T01:30:00+00:00,1362,1.16788,,1.16788,,M15|MSS|2026-08-24T01:30:00+00:00|1
B,M15,DISPLACEMENT,1,2026-08-24T03:00:00+00:00,1368,1.16758,1.16825,1.16825,,M15|DISPLACEMENT|2026-08-24T03:00:00+00:00|1
B,M15,DISPLACEMENT,1,2026-08-24T15:30:00+00:00,1418,1.16642,1.16735,1.16732,,M15|DISPLACEMENT|2026-08-24T15:30:00+00:00|1
B,M15,DISPLACEMENT,-1,2026-08-24T10:45:00+00:00,1399,1.16659,1.16768,1.16661,,M15|DISPLACEMENT|2026-08-24T10:45:00+00:00|-1
B,M15,OB,1,2026-08-24T09:00:00+00:00,1392,1.1676,1.16798,,OB_M15_1392_BULL,M15|OB|2026-08-24T09:00:00+00:00|1
B,M15,OB,1,2026-08-24T11:45:00+00:00,1403,1.16607,1.16654,,OB_M15_1403_BULL,M15|OB|2026-08-24T11:45:00+00:00|1
B,M15,FVG,1,2026-08-24T00:45:00+00:00,1359,1.16768,1.16775,,FVG_M15_1359_BULL,M15|FVG|2026-08-24T00:45:00+00:00|1
B,M15,FVG,-1,2026-08-24T02:00:00+00:00,1364,1.16762,1.16777,,FVG_M15_1364_BEAR,M15|FVG|2026-08-24T02:00:00+00:00|-1
B,M15,FVG,1,2026-08-24T03:15:00+00:00,1369,1.16764,1.16821,,FVG_M15_1369_BULL,M15|FVG|2026-08-24T03:15:00+00:00|1
B,M15,FVG,1,2026-08-24T03:30:00+00:00,1370,1.16825,1.16836,,FVG_M15_1370_BULL,M15|FVG|2026-08-24T03:30:00+00:00|1
B,M15,FVG,-1,2026-08-24T04:30:00+00:00,1374,1.16812,1.16823,,FVG_M15_1374_BEAR,M15|FVG|2026-08-24T04:30:00+00:00|-1
B,M15,FVG,-1,2026-08-24T04:45:00+00:00,1375,1.16787,1.16808,,FVG_M15_1375_BEAR,M15|FVG|2026-08-24T04:45:00+00:00|-1
B,M15,FVG,1,2026-08-24T05:15:00+00:00,1377,1.16787,1.16806,,FVG_M15_1377_BULL,M15|FVG|2026-08-24T05:15:00+00:00|1
B,M15,FVG,-1,2026-08-24T11:00:00+00:00,1400,1.16697,1.16707,,FVG_M15_1400_BEAR,M15|FVG|2026-08-24T11:00:00+00:00|-1
B,M5,BOS,1,2026-08-24T00:25:00+00:00,2061,1.16777,,1.16785,,M5|BOS|2026-08-24T00:25:00+00:00|1
B,M5,BOS,-1,2026-08-24T01:45:00+00:00,2077,1.16777,,1.16761,,M5|BOS|2026-08-24T01:45:00+00:00|-1
B,M5,BOS,1,2026-08-24T02:55:00+00:00,2091,1.16764,,1.16793,,M5|BOS|2026-08-24T02:55:00+00:00|1
B,M5,BOS,-1,2026-08-24T04:20:00+00:00,2108,1.16823,,1.168,,M5|BOS|2026-08-24T04:20:00+00:00|-1
B,M5,BOS,1,2026-08-24T05:05:00+00:00,2117,1.16806,,1.1682,,M5|BOS|2026-08-24T05:05:00+00:00|1
B,M5,BOS,-1,2026-08-24T05:40:00+00:00,2124,1.16806,,1.16803,,M5|BOS|2026-08-24T05:40:00+00:00|-1
B,M5,BOS,1,2026-08-24T07:35:00+00:00,2147,1.16804,,1.16805,,M5|BOS|2026-08-24T07:35:00+00:00|1
B,M5,BOS,-1,2026-08-24T08:30:00+00:00,2158,1.16798,,1.16791,,M5|BOS|2026-08-24T08:30:00+00:00|-1
B,M5,BOS,1,2026-08-24T14:35:00+00:00,2231,1.16669,,1.16675,,M5|BOS|2026-08-24T14:35:00+00:00|1
B,M5,BOS,-1,2026-08-24T17:00:00+00:00,2260,1.16665,,1.16651,,M5|BOS|2026-08-24T17:00:00+00:00|-1
B,M5,BOS,1,2026-08-24T17:35:00+00:00,2267,1.16688,,1.16704,,M5|BOS|2026-08-24T17:35:00+00:00|1
B,M5,BOS,-1,2026-08-24T19:55:00+00:00,2295,1.16651,,1.16642,,M5|BOS|2026-08-24T19:55:00+00:00|-1
B,M5,CHOCH,-1,2026-08-24T01:05:00+00:00,2069,1.16777,,1.16767,,M5|CHOCH|2026-08-24T01:05:00+00:00|-1
B,M5,CHOCH,-1,2026-08-24T01:40:00+00:00,2076,1.16777,,1.16756,,M5|CHOCH|2026-08-24T01:40:00+00:00|-1
B,M5,CHOCH,-1,2026-08-24T05:35:00+00:00,2123,1.16806,,1.16805,,M5|CHOCH|2026-08-24T05:35:00+00:00|-1
B,M5,CHOCH,1,2026-08-24T05:45:00+00:00,2125,1.16806,,1.16813,,M5|CHOCH|2026-08-24T05:45:00+00:00|1
B,M5,CHOCH,1,2026-08-24T05:55:00+00:00,2127,1.16806,,1.16814,,M5|CHOCH|2026-08-24T05:55:00+00:00|1
B,M5,CHOCH,1,2026-08-24T07:30:00+00:00,2146,1.16806,,1.16807,,M5|CHOCH|2026-08-24T07:30:00+00:00|1
B,M5,CHOCH,-1,2026-08-24T07:50:00+00:00,2150,1.16804,,1.16803,,M5|CHOCH|2026-08-24T07:50:00+00:00|-1
B,M5,CHOCH,-1,2026-08-24T08:15:00+00:00,2155,1.16804,,1.16803,,M5|CHOCH|2026-08-24T08:15:00+00:00|-1
B,M5,CHOCH,-1,2026-08-24T08:25:00+00:00,2157,1.16804,,1.1679,,M5|CHOCH|2026-08-24T08:25:00+00:00|-1
B,M5,CHOCH,1,2026-08-24T09:00:00+00:00,2164,1.16798,,1.16805,,M5|CHOCH|2026-08-24T09:00:00+00:00|1
B,M5,CHOCH,-1,2026-08-24T14:40:00+00:00,2232,1.16669,,1.16664,,M5|CHOCH|2026-08-24T14:40:00+00:00|-1
B,M5,CHOCH,-1,2026-08-24T15:00:00+00:00,2236,1.16669,,1.16668,,M5|CHOCH|2026-08-24T15:00:00+00:00|-1
B,M5,CHOCH,1,2026-08-24T17:15:00+00:00,2263,1.16665,,1.16678,,M5|CHOCH|2026-08-24T17:15:00+00:00|1
B,M5,CHOCH,-1,2026-08-24T17:40:00+00:00,2268,1.16688,,1.16683,,M5|CHOCH|2026-08-24T17:40:00+00:00|-1
B,M5,CHOCH,-1,2026-08-24T17:55:00+00:00,2271,1.16688,,1.16662,,M5|CHOCH|2026-08-24T17:55:00+00:00|-1
B,M5,CHOCH,-1,2026-08-24T18:40:00+00:00,2280,1.16688,,1.16686,,M5|CHOCH|2026-08-24T18:40:00+00:00|-1
